Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg Â°F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
8.8,8.8,100,85,45,34,25,20,13,12,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,81,54,42,32,26,12,10,0.3,0.2,10,1,97,2
8.8,8.8,100,65,48,37,30,25,11,9,0.3,0.2,8.4,1,97,2
8.8,8.8,95,65,48,37,30,25,11,9,0.3,0.2,8.4,1,97,2
8.8,8.8,95,81,54,42,32,27,10,12,0.3,0.2,8.4,1,97,2
9,9.1,95,78,53,41,37,27,14,12,0.3,0.2,8,1,97,2
9,9,98,73,53,41,39,28,14,12,0.6,0.4,8,1,97,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,8.8,1,97,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,96.5,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,97,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,97,80,54,42,32,27,12,10,0.6,0.4,7,1,96.5,2
9,9,97,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,101,63,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,101,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,101,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
8.8,8.8,101,110,71,50,39,28,19,15,0.5,1.1,12,,93,6
9,9,101,120,68,48,36,26,18,14,0.5,1.1,12,,93,6
8.8,8.8,101,100,61,43,30,21,17,14,0.5,0.9,12,,93,6
8.7,8.7,101,103,63,43,34,25,17,14,0.6,0.7,11,2,94,5
8.8,8.8,98,90,60,43,35,28,15,13,0.5,1.1,10,2,97,2
8.9,8.9,98,82,61,48,31,24,21,19,0.3,2.8,10.5,2,93,6
8.9,8.9,98,100,61,43,31,24,21,19,0.5,0.9,10,2,96,3
8.9,8.9,98,89,63,40,30,22,18,13,0.7,0.3,8,2,96,3
8.9,8.9,98,74,65,51,43,34,17,16,0.3,2.9,8,2,95,4
8.9,8.9,98,80,66,47,43,34,17,16,0.5,1.1,7,1,96,3
9.2,9.2,98,80,63,49,44,35,18,17,0.4,2.6,8,1,95.2,4
9.2,9.2,98,80,63,49,44,35,18,17,0.4,2.6,8,1,95.2,4
9.2,9.2,105,90,63,49,44,35,18,17,0.4,2.6,6.5,1,94,4
9.3,9.3,105,90,65,48,40,33,18,16,0.4,1.6,5.5,1,92,6
9.3,9.3,105,90,65,48,40,33,18,16,0.4,1.6,6,1,92,6
9.5,9.5,105,70,64,46,30,29,18,15,0.5,1.2,5.5,1,93,5
9.4,9.4,105,75,60,43,31,43,16,14,0.5,1.1,5.8,1,94,4
9.4,9.4,105,78,59,41,30,29,17,15,0.5,0.8,6,1,94,4
9.4,9.4,107,65,59,41,30,29,17,15,0.5,1.2,6,1,93,5
9.4,9.4,107,69,55,40,29,27,17,16,0.5,1.2,5.9,1,93,5
9.4,9.4,107,70,60,39,28,27,18,15,0.6,0.4,6,1,93,5
9.5,9.5,106,70,55,40,30,25,17,13,0.5,1.2,5.8,1,92,6
9.6,9.6,106,73,57,42,32,26,14,11,0.4,1.4,5,1,92,6
9.6,9.6,106,68,63,45,38,27,13,11,0.5,1.1,6,1,92,6
9.6,9.6,104,68,63,45,38,27,13,11,0.5,1.1,6,1,92,6
9.6,9.6,104,68,63,45,38,27,13,11,0.5,1.1,6,1,92,6
9.6,9.6,104,70,60,43,31,28,13,11,0.5,1.1,5.8,1,90,6
9.6,9.6,103,75,68,48,34,27,17,13,0.5,1.1,5.5,1,90,6
9.6,9.6,103,76,63,45,34,28,16,12,0.5,1.1,5.5,1,90,6
9.6,9.6,103,75,58,42,35,26,15,13,0.5,1.1,5.5,1,90,6
9.6,9.6,100,76,63,45,34,28,16,12,0.5,1.1,5.7,1,90,6
9.6,9.6,100,76,63,45,34,28,16,12,0.5,1.1,5.5,1,90,6
9.6,9.6,100,75,63,45,35,26,15,13,0.5,1.1,5.7,1,90,6
9.6,9.6,99,76,63,45,34,28,16,12,0.5,1.1,5.7,1,90,6
9.6,9.6,99,76,63,45,34,28,16,12,0.5,1.1,5.7,1,90,6
9.6,9.6,99,75,63,45,35,26,15,13,0.5,1.1,5.7,1,90,6
8.6,8.6,,94,59,46,45,40,22,13,0.4,2.5,7.5,1,97,3
8.6,8.6,85,88,60,45,43,39,23,20,0.4,1.7,7,1,97,3
8.6,8.6,97,86,59,44,42,40,22,20,0.4,1.6,6.9,1,97,3
8.6,8.6,97,86,58,44,42,40,22,20,0.4,1.9,6.9,1,97,3
8.7,8.7,98,79,59,44,42,40,22,20,0.4,1.6,5,1,96.5,3
8.7,8.7,98,74,60,46,42,40,22,20,0.4,2.2,5,1,96.5,3
8.8,8.8,98,74,58,46,42,40,22,20,0.3,2.9,5,1,96,3
8.8,8.8,110,70,59,47,42,40,22,20,0.3,3.1,5,1,96,3
8.9,8.9,114,72,60,45,42,40,22,20,0.4,1.7,4.3,1,95.5,3
9,9,114,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,60,46,42,40,20,18,0.4,2.2,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,60,46,42,40,20,18,0.4,2.2,4.3,1,95,3
9,9,,69,60,46,42,40,20,18,0.4,2.2,4.3,1,95,3
9,9,,69,60,46,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
9,9,,69,59,47,42,40,20,18,0.3,3.1,4.3,1,95,3
8.6,8.6,38,89,87,65,55,36,12,9,0.4,0.8,7,1,96,3
8.5,8.5,38,51,45,32,25,20,10,8,0.5,0.8,7,1,96,3
8.6,8.6,38,70,67,48,32,25,13,10,0.5,1.2,7,1,96,3
8.5,8.5,38,70,67,48,32,25,13,10,0.5,1.2,7,1,96,3
8.5,8.5,38,51,45,32,25,20,10,8,0.5,0.8,7,1,96,3
8.6,8.6,38,70,68,49,32,25,13,10,0.5,1.3,7,1,96,3
8.7,8.7,30,77,63,47,33,26,17,14,0.4,1.6,7,1,96,3
8.7,8.7,30,80,60,45,32,25,17,13,0.4,1.7,6,1,96,3
8.7,8.7,38,70,65,48,32,25,17,14,0.4,1.6,6,1,96,3
8.7,8.7,,70,65,48,32,25,17,14,0.4,,6,1,96,4
8.7,8.7,30,65,60,43,32,25,15,11,0.5,1.1,7,1,96,4
8.7,8.7,30,79,73,52,32,25,17,14,0.5,1.3,6,1,96,4
8.8,8.8,30,60,60,43,32,26,17,14,0.5,1.1,6,1,96,4
8.9,8.9,30,65,60,43,32,26,17,14,0.5,1.1,5.5,1,96,4
8.9,8.9,31,79,72,52,44,33,17,14,0.5,1.4,4,1,96,4
8.9,8.9,,70,69,50,43,31,16,13,0.5,1,3.5,1,95,4
9,9,30,65,59,42,33,25,17,13,0.5,1,5,1,95,4
8.9,8.9,31,65,54,40,32,25,17,13,0.4,1.4,4,1,95,4
9,9,,69,60,44,32,24,15,10,0.4,,4,1,94,4
9,9.1,,70,63,46,33,25,16,13,0.5,1.4,4,1,94,4
9.1,9.1,,65,62,45,32,25,17,13,0.5,1.3,4,1,94,4
9.1,9.1,,70,63,46,33,25,16,13,0.5,1.4,4,1,94,4
9.1,9.1,,70,63,46,33,25,16,13,0.5,1.4,4,1,94,4
9.1,9.1,,65,62,45,32,25,17,13,0.5,1.3,4,1,94,4
9.1,9.1,,65,62,45,32,25,17,13,0.5,1.3,4,1,94,4
9.1,9.1,,70,63,46,33,25,16,13,0.5,1.4,4,1,94,4
9.1,9.1,,65,62,45,32,25,17,13,0.5,1.3,4,1,94,4
9.1,9.1,,58,56,41,32,25,17,13,0.4,1.3,4,1,94,4
9.1,9.1,,58,56,41,32,25,17,13,0.4,1.3,4,1,94,4
9.1,9.1,,58,56,41,32,25,17,13,0.4,1.3,4,1,94,4
9.1,9.1,,58,56,41,32,25,17,13,0.4,1.3,4,1,94,4
9.1,9.1,,39,37,26,19,12,6,4,0.5,0.6,6,1,94,4
9.1,9.1,,39,37,26,19,12,6,4,0.5,0.6,6,1,94,4
8.6,8.6,,84,61,47,38,28,18,17,0.4,,9,,97,3
8.6,8.6,,84,61,47,38,28,18,17,0.4,2.3,9,,97,3
8.6,8.6,,84,61,47,38,28,18,17,0.4,2.3,9,,97,3
8.7,8.7,,81,66,50,41,30,18,17,0.4,2.3,9,,97,3
8.7,8.7,,87,70,52,41,32,18,17,0.4,1.8,9,,97,3
8.7,8.7,,83,65,48,39,28,17,16,0.4,1.6,9,,97,3
8.7,8.7,,81,69,50,38,29,18,17,0.5,,9,,97,3
8.7,8.7,,89,74,53,41,31,19,18,0.5,1.3,8,,97,3
8.7,8.7,,86,72,51,39,30,17,16,0.5,1.2,8,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,,5,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,,5,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,,5,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,1.4,5,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,1.4,5,,97,3
9.2,9.2,,83,72,52,41,31,18,16,0.5,1.4,5,,97,3
9.3,9.3,,68,60,43,32,24,17,15,0.5,1.1,6,,97,3
9.5,9.5,,70,63,46,34,39,18,16,0.5,1.4,5,,97,3
9.5,9.5,,67,60,44,33,26,17,16,0.4,1.4,5,,97,3
9.8,9.8,128,64,59,44,33,26,17,16,0.4,1.6,5,,97,3
9.8,9.8,140,65,60,46,35,25,18,16,0.4,2.2,5,,97,3
9.8,9.8,141,62,57,43,30,23,17,16,0.4,1.7,5,,97,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,1.4,4.5,,96.5,3
9.85,,,70,63,46,34,38,17,16,0.5,,4.5,,96.5,3
9.85,,,59,51,33,25,19,6,5,0.6,0.3,4.5,,96.5,3
9.85,,,59,51,33,25,19,6,5,0.6,0.3,4.5,,96.5,3
9.85,,,59,51,33,25,19,6,5,0.6,0.3,4.5,,96.5,3
9.85,,,59,51,33,25,19,6,5,0.6,0.3,4.5,,96.5,3
9.85,,,59,51,33,25,19,6,5,0.6,0.3,4.5,,96.5,3
8.9,8.9,,120,83,62,57,38,14,12,0.4,,10,1,98,2
8.9,8.9,,120,81,60,54,36,14,12,0.4,2.1,9,1,98,2
8.9,8.9,,102,66,51,44,33,12,10,0.4,2.6,8,1,98,2
8.7,8.7,,120,83,62,57,38,14,12,0.4,,10,1,98,2
8.8,8.8,,93,78,57,45,30,14,12,0.5,1.7,9,1,98,2
8.8,8.8,,90,75,55,46,32,13,11,0.4,1.7,7,1,98,2
8.8,8.8,110,84,79,57,47,36,13,11,0.5,,10,1,98,2
8.8,8.8,110,82,74,52,41,31,13,12,0.5,1.1,9,1,98,2
69,8.8,110,69,65,48,40,31,14,12,0.4,1.6,7,1,98,2
8.8,8.8,119,83,85,64,56,45,15,13,0.4,,5.5,1,96,2
8.9,8.9,120,79,82,61,51,43,15,12,0.4,2.2,5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,98,2
8.8,8.8,119,83,85,64,56,45,15,13,0.4,,5.5,1,96,2
8.9,8.9,120,79,82,61,52,43,15,12,0.4,2.2,5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,98,2
8.8,8.8,119,79,62,47,40,30,12,11,0.4,,5.5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,98,2
8.8,8.8,119,79,62,47,40,30,12,11,0.4,,5.5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,96,2
8.9,8.9,120,79,62,47,40,30,12,11,0.4,2,5,1,98,2
8.7,8.7,,65,55,40,32,27,18,15,0.5,1.3,10,1,,
8.7,8.7,,68,57,42,35,29,14,11,0.4,1.4,10,1,,
8.7,8.7,,66,56,41,34,30,16,13,0.4,1.3,10,1,,
8.7,8.7,,65,59,44,39,32,15,12,0.4,1.6,11,1,,
8.8,8.8,,70,60,45,35,29,14,11,0.4,1.6,10,1,,
8.8,8.8,,67,57,41,34,30,14,13,0.5,1.1,10,1,,
8.8,8.8,,59,54,41,36,29,14,13,0.4,1.8,10,1,,
8.8,8.8,,61,60,42,34,25,14,11,0.5,0.9,10,1,,
8.8,8.8,,66,53,41,34,31,13,13,0.4,2.1,9,1,,
8.9,8.9,,56,53,41,34,31,13,13,0.4,2.1,9,1,,
8.9,8.9,,62,60,42,34,25,14,11,0.5,0.9,10,1,,
9,9,,58,53,41,34,31,13,13,0.4,2.1,9,1,,
9,9,,64,58,42,33,25,14,12,0.5,1.3,9,1,,
9,9,,67,60,44,34,25,14,11,0.4,1.4,9,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,9,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,9,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
9,9,,68,59,43,34,26,15,13,0.5,1.3,8,1,,
8.6,,,110,84,70,50,40,25,23,0.3,6.9,,,,
8.6,,,110,84,70,50,40,25,23,0.3,6.9,,,,
8.6,,,110,84,70,50,40,25,23,0.3,6.9,,,,
8.6,,,110,84,70,50,40,25,23,0.3,6.9,,,,
8.6,,,110,84,70,50,40,25,23,0.3,6.9,,,,
8.6,,,102,70,54,45,40,25,23,0.4,2.7,4.5,1,98,2
8.6,,,102,70,54,45,40,25,23,0.4,2.7,4.5,1,98,2
8.6,,,100,69,52,40,40,24,20,0.4,2.1,4.5,1,98,2
8.6,8.6,,94,68,52,40,40,23,19,0.4,2.4,5,1,98,2
8.6,8.6,,85,45,35,29,25,15,12,0.4,1.9,19,1,98,2
8.6,8.6,,90,65,50,40,35,23,19,0.4,2.4,6,1,98,2
8.6,8.6,,85,60,45,40,30,25,20,0.4,1.7,5,1,98,2
8.8,8.8,110,85,48,38,32,29,21,19,0.3,2.4,8,1,98,2
8.8,8.8,110,90,46,37,30,26,19,17,0.3,2.7,5,1,98,2
8.9,8.9,121,85,50,40,35,30,20,18,0.3,2.7,5,1,98,2
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.6,,,89,69,54,42,38,19,17,0.4,3,,,,
8.7,8.7,,89,70,54,42,38,19,17,0.4,3,,,,
8.8,8.8,,86,69,52,43,39,19,17,0.4,2.1,,,,
8.8,8.8,,89,70,53,41,39,18,17,0.4,2.2,,,,
8.8,8.8,,89,69,53,43,39,19,17,0.4,2.1,,,,
8.8,8.8,,90,70,52,43,39,18,16,0.4,2.1,,,,
8.8,8.8,,88,70,53,41,39,19,17,0.4,2.2,,,,
8.9,8.9,,89,71,54,44,38,19,17,0.4,1.9,,,,
8.9,8.9,,85,70,52,43,39,17,16,0.4,1.8,,,,
8.9,8.9,,80,67,49,39,34,17,15,0.5,1.5,11,1,,
8.9,8.9,,79,67,49,43,34,17,15,0.5,1.8,10,1,89,11
8.9,8.9,,80,59,45,40,39,17,16,0.4,2,8.5,1,89,11
9,9,,78,58,44,41,34,17,15,0.4,1.9,8.2,1,90,10
9.3,9.3,,70,58,46,41,39,18,16,0.3,2,8.2,1,100,
9.4,9.4,,69,59,45,40,39,17,15,0.4,2,8.2,1,90,10
9.6,9.6,,68,58,44,41,34,17,15,0.4,1.9,8.3,1,91,9
9.6,9.6,,61,61,46,41,36,18,16,0.4,0.4,9,1,89,8
9.6,9.6,,69,62,45,40,39,17,15,0.5,1.3,9,1,89,8
9.6,9.6,,68,62,45,41,34,17,15,0.5,1.3,8.7,1,89,8
9.6,9.6,,69,61,45,40,39,17,15,0.4,1.5,8.9,1,89,8
9.6,9.6,,69,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,68,62,45,41,34,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,68,62,45,41,34,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,69,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,68,62,45,41,34,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,67,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.6,9.6,,69,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.8,9.8,,72,65,46,41,34,17,15,0.5,1,8.5,1,89,8
9.8,9.8,110,72,65,46,41,34,17,15,0.5,,9,1,89,8
9.8,9.8,115,70,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.8,9.8,119,71,66,48,41,34,17,15,0.5,1.4,8,1,90,8
9.8,9.8,,69,62,45,40,39,17,15,0.5,1.3,8,1,89,8
9.8,9.8,,68,62,45,40,39,17,15,0.5,1.3,8,1,89,8
10,10,,75,65,46,41,34,17,15,0.5,1,8,1,90,8
10,10,,75,65,46,41,34,17,16,0.5,1,8,1,89,8
10,10,,68,64,48,40,39,18,14,0.4,1.8,8,1,89,8
10,10,,73,63,47,39,33,17,15,0.4,1.7,8,1,90,8
10,10,,68,64,48,40,39,18,14,0.4,1.8,8,1,90,8
10,10,,68,64,48,40,39,18,14,0.4,1.8,8,1,90,8
10,10,,70,63,47,39,33,17,15,0.4,1.7,8,1,90,8
10,10,,69,63,47,40,38,17,14,0.4,1.7,8,1,90,8
10,10,,69,63,48,40,39,18,14,0.4,2.1,8,1,90,8
10,10,,69,63,47,40,38,17,14,0.4,1.7,8,1,90,8
10,10,,68,63,47,40,39,18,14,0.4,2.1,8,1,90,8
10,10,,69,63,48,40,39,18,14,0.4,2.1,8,1,90,8
10,10,,69,63,47,39,33,17,15,0.4,1.7,8,1,90,8
10,10,,69,63,48,40,39,18,14,0.4,2.1,8,1,90,8
10,10,,69,63,48,40,39,18,14,0.4,2.1,8,1,90,8
10,10,,69,63,47,39,33,17,15,0.4,1.7,8,1,90,8
10,,,69,63,47,40,39,17,15,0.4,1.7,8,1,90,8
10,,,69,63,47,40,39,17,15,0.4,1.7,8,1,90,8
10,,,69,63,47,39,33,17,15,0.4,1.7,8,1,90,8
10,,,68,63,47,40,39,17,15,0.4,1.7,9,1,90,8
10,,,68,63,47,40,39,17,15,0.4,1.7,9,1,90,8
10,,,68,63,47,40,39,17,15,0.4,1.7,9,1,90,8
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,68,63,47,40,39,17,15,0.4,1.7,,,,
10,,,67,61,44,38,36,15,14,0.5,1.2,,,,
10,,,67,61,44,38,36,15,13,0.5,1.2,,,,
10,,,66,61,45,39,35,16,14,0.4,1.5,,,,
10,,,67,61,45,39,35,16,14,0.4,1.5,,,,
10,,,67,61,45,39,35,16,14,0.4,1.5,,,,
10,,,69,62,46,40,35,17,15,0.4,1.6,,,,
